ds,y,yhat,yhat_lower,yhat_upper
2019-01-01,1068804.59,1345185.0801103874,1079717.4033597095,1620442.0526594652
2019-01-02,1204164.44,1335809.056201318,1064595.482771472,1612285.3952377161
2019-01-03,1400514.27,1330476.1297377427,1055139.4255369075,1601402.9456980848
2019-01-04,1417814.1400000001,1312384.3944341647,1053813.6357429472,1572308.3512381515
2019-01-05,1355136.79,1319671.0793890127,1061700.6974744578,1571135.1465934708
2019-01-06,1071281.55,1338637.3799955908,1057623.4863351358,1614457.1841716769
2019-01-07,1302582.5,1325014.7491982945,1052221.5739344768,1583912.5847822903
2019-01-08,1015033.51,1351846.6477007268,1089821.2887952253,1609236.5196975563
2019-01-09,1759132.21,1345737.0186419084,1052197.0666532195,1603032.9703970375
2019-01-10,1216781.43,1343683.2566677958,1063166.3050118187,1630215.5687602982
2019-01-11,1642027.1300000001,1328800.1810015682,1077763.5988896952,1600215.8260614758
2019-01-12,1435852.3800000001,1339140.359752036,1080721.6453384857,1603603.1199106453
2019-01-13,1283710.14,1360921.4108799875,1121459.8801007215,1640114.5916975602
2019-01-14,1407349.68,1349794.7872957294,1072966.6567990975,1634339.321879853
2019-01-15,1452016.47,1378729.97097874,1093665.2865413555,1644410.9470427146
2019-01-16,1392527.44,1374265.268356495,1124629.1259752098,1659827.1692507372
2019-01-17,1338105.56,1373342.9061821555,1100957.3527154722,1644491.2140711176
2019-01-18,1183341.85,1359034.871538773,1060080.668652345,1633509.7634354322
2019-01-19,1164214.35,1369364.78393463,1106529.3139577063,1637379.2261481513
2019-01-20,1651099.34,1390536.3741551167,1114874.5629329563,1671114.7072910261
2019-01-21,1990901.79,1378203.036689026,1095589.2926497015,1626857.3406605958
2019-01-22,1159044.06,1405352.351378269,1132562.0681664054,1694198.137371547
2019-01-23,1109979.16,1398556.749668291,1142803.959775243,1689326.2469744515
2019-01-24,1479912.03,1394808.0208675764,1108604.939559094,1664966.9322888216
2019-01-25,1264222.15,1377242.1114872908,1105046.698082295,1659091.2352914016
2019-01-26,1538640.82,1383959.5282275388,1121026.3169135335,1673834.5937787725
2019-01-27,1387592.29,1401251.9545195682,1135572.4746198507,1678691.0806017907
2019-01-28,1601597.66,1384869.5944565092,1113094.2205774495,1665196.1570342293
2019-01-29,1613975.27,1407903.197311704,1131428.1838818358,1684330.9056732408
2019-01-30,1366360.72,1397032.004570884,1103865.7613122663,1657809.0612903277
2019-01-31,1071068.09,1389355.3886108012,1097720.9958882118,1659481.4292930875
2019-02-01,1461941.52,1368114.7149632445,1106508.165439672,1646739.6773033554
2019-02-02,1685677.94,1371510.8205272749,1104534.4301089486,1639663.6736434356
2019-02-03,1023002.6900000001,1385927.800067792,1131823.5787097397,1636505.3760895883
2019-02-04,1673457.06,1367197.6955380642,1107421.1452051543,1615035.683164099
2019-02-05,1298492.18,1388480.1180961528,1118438.6590296966,1652561.457268642
2019-02-06,1474928.69,1376508.1151585265,1113012.4085641385,1654576.6788868562
2019-02-07,1253121.97,1368418.1137270243,1096178.884091161,1614936.8013496827
2019-02-08,1306336.11,1347470.5238824717,1074743.3512605203,1611622.3257043043
2019-02-09,934609.74,1351866.4350496358,1075825.3903213218,1629689.8876296722
2019-02-10,1453429.06,1367971.1246616966,1116885.886304768,1633994.8529787762
2019-02-11,1444963.56,1351578.9872178228,1084215.665545716,1622157.0599636522
2019-02-12,1166678.28,1375793.912732239,1103570.5118933148,1632514.8327997457
2019-02-13,1572731.24,1367276.411624837,1105816.1070799795,1646094.6958192121
2019-02-14,1584897.57,1363075.287894104,1072791.5876841415,1639541.1821123709
2019-02-15,1289454.02,1346350.4016809745,1082586.397527027,1622111.2596180048
2019-02-16,1394261.05,1355191.8987596175,1092453.655168952,1624523.8017959632
2019-02-17,1370511.69,1375846.5606804925,1121477.4597214216,1634819.3044732886
2019-02-18,1191600.19,1363985.8085937034,1088518.0594218823,1635233.2442634196
2019-02-19,1580357.53,1392589.307757412,1116884.8704028432,1687956.3361801805
2019-02-20,1085195.19,1388195.3830002549,1111114.557003419,1649577.555169909
2019-02-21,1405034.59,1387735.9578058724,1108457.0626913717,1650973.353335973
2019-02-22,1051457.1,1374262.4690295707,1094716.2393291572,1656150.9067694722
2019-02-23,1385949.9,1385768.0482428574,1129987.600697451,1665526.283200466
2019-02-24,1256901.12,1408416.541870008,1147718.3008090956,1688256.0202584362
2019-02-25,1340273.12,1397812.8288503287,1106715.597756625,1673617.214338628
2019-02-26,1321420.21,1426888.3179077655,1149578.8026921514,1713407.6947195847
2019-02-27,1555393.26,1422152.781004787,1172482.485627203,1691047.0075334196
2019-02-28,1303068.42,1420530.1946606594,1144878.6312451153,1707446.040262272
2019-03-01,1371770.65,1405085.014163475,1151459.416085213,1663808.9257941663
2019-03-02,1418579.57,1413844.159384156,1129529.7016435536,1693271.3971300658
2019-03-03,1361322.31,1433025.2872223845,1149039.6758835604,1676590.553598488
2019-03-04,963557.14,1418305.8273906305,1140723.1329549192,1681863.928669549
2019-03-05,1757772.58,1442706.6962450044,1167925.610967704,1714547.9841681174
